Fecha,sst_nino12_proxy
2018-07-06,21.95166
2018-07-07,22.038544
2018-07-08,22.0878
2018-07-09,22.295197
2018-07-10,22.245026
2018-07-11,22.125702
2018-07-12,22.024048
2018-07-13,22.006744
2018-07-14,22.004425
2018-07-15,21.95581
2018-07-16,22.044159
2018-07-17,21.95169
2018-07-18,22.084595
2018-07-19,22.008026
2018-07-20,21.711914
2018-07-21,21.49234
2018-07-22,21.2742
2018-07-23,21.276703
2018-07-24,21.25232
2018-07-25,21.592194
2018-07-26,21.649353
2018-07-27,21.649353
2018-07-28,21.814972
2018-07-29,22.380981
2018-07-30,22.54712
2018-07-31,22.503876
2018-08-01,22.679596
2018-08-02,22.457825
2018-08-03,22.443115
2018-08-04,22.556488
2018-08-05,22.52597
2018-08-06,22.340485
2018-08-07,22.167267
2018-08-08,22.155151
2018-08-09,22.033783
2018-08-10,21.998352
2018-08-11,21.94461
2018-08-12,21.92929
2018-08-13,21.980011
2018-08-14,21.96811
2018-08-15,21.993927
2018-08-16,21.786224
2018-08-17,21.534088
2018-08-18,21.308899
2018-08-19,21.145721
2018-08-20,21.084442
2018-08-21,21.027374
2018-08-22,20.977478
2018-08-23,20.81366
2018-08-24,20.889282
2018-08-25,20.848175
2018-08-26,20.746613
2018-08-27,20.792236
2018-08-28,20.82196
2018-08-29,20.741608
2018-08-30,20.779205
2018-08-31,20.82721
2018-09-01,20.677216
2018-09-02,20.68161
2018-09-03,21.026001
2018-09-04,21.131195
2018-09-05,21.276123
2018-09-06,21.54831
2018-09-07,21.432526
2018-09-08,21.375916
2018-09-09,21.393646
2018-09-10,21.266235
2018-09-11,21.470703
2018-09-12,21.406189
2018-09-13,21.223785
2018-09-14,20.966766
2018-09-15,20.858002
2018-09-16,20.73346
2018-09-17,20.661499
2018-09-18,20.862762
2018-09-19,21.02539
2018-09-20,21.40274
2018-09-21,21.56903
2018-09-22,21.684326
2018-09-23,21.79953
2018-09-24,21.667358
2018-09-25,21.667358
2018-09-26,21.671722
2018-09-27,21.63565
2018-09-28,21.494751
2018-09-29,21.475739
2018-09-30,21.353088
